node_id,degree_centrality,pagerank
user_196,0.014761544284632853,0.0002154294948097772
movie_242,0.04466313398940197,0.0006153845265507722
genre_comedy,0.1911430734292203,0.003905320682388402
user_186,0.0348221044663134,0.00046049329545980655
movie_302,0.11392884178652536,0.0014386695057587511
genre_crime,0.04125662376987131,0.0009437666515586671
genre_film_noir,0.009084027252081756,0.00024682544020211976
genre_mystery,0.023088569265707796,0.00042637297709558646
genre_thriller,0.09500378501135504,0.001694635773457204
user_22,0.04844814534443603,0.0005697210872593309
movie_377,0.005677517032551097,0.00012060340666674703
genre_childrens,0.04617713853141559,0.0007716405841776196
user_244,0.09008327024981075,0.0010056815764631917
movie_51,0.03217259651778955,0.00038173031619956105
genre_drama,0.2744133232399697,0.007018974444354794
genre_romance,0.09348978046934141,0.0017686003395729563
genre_war,0.026873580620741862,0.0004751958102450464
genre_western,0.010219530658591975,0.00023606862153965072
user_166,0.00757002271006813,0.00014272347529302348
movie_346,0.04844814534443603,0.0006515322826705372
user_298,0.04806964420893263,0.0005253622362938801
movie_474,0.07418622255866768,0.0007922663055306403
genre_sci_fi,0.038228614685844056,0.0005400242539690261
user_115,0.0348221044663134,0.0004029940426433184
movie_265,0.08667676003028009,0.0009079631860957156
genre_action,0.09500378501135504,0.0016335123212212331
user_253,0.03671461014383043,0.00042232979168499473
movie_465,0.03330809992429977,0.0003884282331733178
genre_adventure,0.05109765329295988,0.0007420913883656777
user_305,0.08402725208175625,0.0009597583121803779
movie_451,0.06548069644208933,0.000703920218539939
genre_musical,0.021196063588190765,0.0003259218316939383
user_6,0.07986373959121877,0.000870305991410911
movie_86,0.05715367146101438,0.0006519283527442346
user_62,0.08781226343679031,0.0009747353291374074
movie_257,0.1161998485995458,0.0012956001406282613
user_286,0.10900832702498107,0.0013068120002095406
movie_1014,0.03747161241483724,0.0004507772160090948
user_200,0.0817562452687358,0.0008849248102798496
movie_222,0.1392884178652536,0.001512780069564144
user_210,0.04996214988644966,0.0005382875029971422
movie_40,0.02195306585919758,0.0002768156980721852
user_224,0.05336866010598032,0.0006710725580831081
movie_29,0.04466313398940197,0.0005025733433555582
user_303,0.18319454958364875,0.002125858254243168
movie_785,0.015518546555639667,0.00021867676211083153
user_122,0.023088569265707796,0.0002975731172034043
movie_387,0.02498107494322483,0.00031203894843811445
user_194,0.11544284632853899,0.0012500146069579232
movie_274,0.07267221801665405,0.0008152708204950099
